id,restaurant_id,restaurant,name,description,price,spicy,vegetarian,popular
r-001-i-000,r-001,Operation Falafel,Shawarma Wrap,"Marinated chicken, garlic sauce, pickles in saj bread",AED 40,false,false,true
r-001-i-001,r-001,Operation Falafel,Beef Shawarma,"Spiced beef, tahini, tomato, parsley",AED 25,false,false,false
r-001-i-002,r-001,Operation Falafel,Falafel Plate,Crispy chickpea fritters with tahini and salad,AED 81,false,true,true
r-001-i-003,r-001,Operation Falafel,Hummus,Smooth chickpea dip with olive oil and warm pita,AED 66,false,true,true
r-001-i-004,r-001,Operation Falafel,Moutabal,Smoky grilled eggplant blended with tahini and lemon,AED 23,false,true,true
r-001-i-005,r-001,Operation Falafel,Tabbouleh,"Parsley salad with bulgur, tomato, mint and lemon",AED 76,false,true,false
r-001-i-006,r-001,Operation Falafel,Fattoush,Crunchy fresh salad with sumac and toasted bread,AED 83,false,true,true
r-001-i-007,r-001,Operation Falafel,Mixed Grill,"Skewers of shish taouk, kafta and lamb kebab",AED 95,false,false,false
r-001-i-008,r-001,Operation Falafel,Shish Taouk,Grilled chicken cubes marinated in garlic and yogurt,AED 65,false,false,true
r-001-i-009,r-001,Operation Falafel,Kafta Skewer,"Minced lamb with parsley and onion, charcoal grilled",AED 87,true,false,false
r-001-i-010,r-001,Operation Falafel,Manakish Zaatar,Stone-baked flatbread with zaatar and olive oil,AED 12,false,true,false
r-001-i-011,r-001,Operation Falafel,Manakish Cheese,Stone-baked flatbread with akkawi cheese,AED 32,false,true,false
r-001-i-012,r-001,Operation Falafel,Kibbeh,Bulgur shells stuffed with spiced minced meat,AED 55,false,false,false
r-001-i-013,r-001,Operation Falafel,Sambousek,Crispy pastries filled with cheese or meat,AED 39,false,false,false
r-001-i-014,r-001,Operation Falafel,Warak Enab,"Vine leaves stuffed with rice, tomato and herbs",AED 55,false,true,true
r-001-i-015,r-001,Operation Falafel,Mujadara,Lentils and rice topped with caramelised onions,AED 60,false,true,true
r-001-i-016,r-001,Operation Falafel,Lamb Mandi,Slow-cooked lamb on saffron rice,AED 56,false,false,false
r-001-i-017,r-001,Operation Falafel,Chicken Mandi,Smoky roasted chicken on aromatic rice,AED 17,false,false,false
r-001-i-018,r-001,Operation Falafel,Mixed Mezze,Chef's selection of cold and hot mezze,AED 80,false,true,true
r-001-i-019,r-001,Operation Falafel,Baba Ghanouj,Charred eggplant dip with pomegranate molasses,AED 60,false,true,true
r-001-i-020,r-001,Operation Falafel,Knafeh,Sweet cheese pastry soaked in rose syrup,AED 49,false,true,false
r-001-i-021,r-001,Operation Falafel,Baklava,Layered filo pastry with pistachio and honey,AED 91,false,true,false
